Symbol,Exchange,Staking %,Open,High,Low,Close,Trend,Volume,Mid,WhaleHeat,Vol ⚡
ETH,Binance,[red]2.83[/red],"4,391.83","4,458.83","4,358.67","4,453.68",↑,"176,327.3585","4,408.75",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ETH,Coinbase,[red]2.83[/red],"4,392.11","4,456.57","4,360.17","4,452.1",↑,"2,312.14","4,408.37",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ETH,Kraken,[red]2.83[/red],"4,391.08","4,454.75","4,363.93","4,454.75",↑,289.02,"4,409.34",[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Binance,[red]-14.59[/red],0.8112,0.8401,0.7944,0.8368,↑,"77,109,842.4",0.81725,[green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Coinbase,[red]-14.59[/red],0.8109,0.8401,0.7945,0.8368,↑,"240,705.69",0.8172999999999999,[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
ADA,Kraken,[red]-14.59[/red],0.8106,0.8382,0.7947,0.8381,↑,"701,259.37",0.8164499999999999,[green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Binance,[green]108477692995.46[/green],200.62,202.49,196.03,202.13,↓,"1,793,529.19",199.26,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Coinbase,[green]108477692995.46[/green],200.76,202.45,196.04,202.17,↓,"13,728.8",199.245,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][orange]█[/orange][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SOL,Kraken,[green]108477692995.46[/green],200.59,202.29,196.38,202.11,↓,"4,550.61",199.33499999999998,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][yellow]█[/yellow][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
BNB,Binance,[red]-5955731.68[/red],857.66,867.24,849.37,864.76,↑,"81,903.184",858.3050000000001,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
BNB,Coinbase,[red]-5955731.68[/red],-,-,-,-,-,-,-,--------------------,-
BNB,Kraken,[red]-5955731.68[/red],858.32,866.88,849.03,865.13,↑,45.69,857.9549999999999,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Binance,[red]27.00[/red],0.341,0.341,0.3367,0.34,↑,"150,682,013.3",0.33885,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
TRX,Coinbase,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
TRX,Kraken,[red]27.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Binance,[red]121.00[/red],3.2494,3.29,3.1458,3.2821,↓,"15,983,497.6",3.2179,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
SUI,Coinbase,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
SUI,Kraken,[red]121.00[/red],-,-,-,-,-,-,-,--------------------,-
APT,Binance,[red]6.88[/red],4.254,4.296,4.144,4.293,↓,"1,587,961.85",4.220000000000001,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Coinbase,[red]6.88[/red],4.26,4.29,4.16,4.29,↓,"1,828.73",4.225,[green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][orange]█[/orange][green]█[/green][green]█[/green][green]█[/green][yellow]█[/yellow][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green][green]█[/green],-
APT,Kraken,[red]6.88[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Binance,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Coinbase,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
HYPE,Kraken,[red]24.00[/red],-,-,-,-,-,-,-,--------------------,-
